,Name,Lvl,HP,AC,Attack_Num,Attack_Descr,Attack_Type,Hit_Bonus,is_Agile
710,GELATINOUS CUBE,3,90,10,Attack 1,"Melee cube face +11, Damage 1d6 acid plus paralysis",Melee,11.0,False
711,GELUGON (ICE DEVIL),13,215,34,Attack 1,"Melee frost longspear +28 (cold, evil, magical, reach 15 feet), Damage 2d8+12 piercing plus 1d6 cold, 1d6 evil, and slowing frost",Melee,28.0,False
712,GERHARD PENDERGRAST,8,135,26,Attack 1,"Melee whip +19 (disarm, finesse, nonlethal, magical, reach 10 feet, trip), Damage 2d4+6 slashing",Melee,19.0,False
713,GHAELE (CRUSADER AZATA),13,235,34,Attack 1,"Melee holy greatsword +28 (good, magical, versatile P), Damage 2d12+13 slashing plus 1d6 good and 1d6 other (see Choose Weakness)",Melee,28.0,False
714,GHAELE OF KHARNAS,17,315,40,Attack 1,"Melee holy greatsword +33 (good, magical, versatile P), Damage 3d12+16 slashing plus 1d6 good and 1d6 other (see Choose Weakness)",Melee,33.0,False
715,GHAST,2,30,18,Attack 1,"Melee jaws +11 (finesse), Damage 1d6+5 piercing plus ghast fever and paralysis",Melee,11.0,False
716,GHASTLY BEARS,9,135,27,Attack 1,"Melee jaws +20, Damage 2d10+9 piercing plus ghast fever and paralysis",Melee,20.0,False
717,GHONHATINE,10,175,30,Attack 1,"Melee jaws +23 (reach 10 feet), Damage 2d12+10 piercing plus 1d6 persistent acid",Melee,23.0,False
718,GHORAN MANIPULATOR,3,45,18,Attack 1,"Melee spear +7, Damage 1d6+2 piercing",Melee,7.0,False
719,GHOST COMMONER,4,30,20,Attack 1,"Melee ghostly hand +13 (agile, finesse, magical), Damage 2d6+2 negative",Melee,13.0,True
720,GHOST MAGE,10,135,27,Attack 1,"Melee ghostly hand +21 (agile, finesse, magical), Damage 2d8+12 negative",Melee,21.0,True
721,GHOST OF DIGGEN THRUNE,4,30,20,Attack 1,"Melee ghostly hand +13 (agile, finesse, magical), Damage 2d6+2 negative",Melee,13.0,True
722,GHOUL,1,20,16,Attack 1,"Melee jaws +9 (finesse), Damage 1d6+1 piercing plus ghoul fever and paralysis",Melee,9.0,False
723,"GHOUL, BARNACLE",9,155,28,Attack 1,"Melee jaws +21 (finesse), Damage 2d10+10 piercing plus fill lungs and paralysis",Melee,21.0,False
724,GIANT AMOEBA,1,45,8,Attack 1,"Melee pseudopod +8, Damage 1d6 acid plus Grab",Melee,8.0,False
725,GIANT ANACONDA,8,175,25,Attack 1,"Melee jaws +21 (reach 10 feet), Damage 2d10+7 piercing plus Grab",Melee,21.0,False
726,GIANT ANIMATED STATUE,7,100,26,Attack 1,"Melee stone fist +19 (magical), Damage 2d12+6 bludgeoning plus Grab",Melee,19.0,False
727,GIANT ANT,2,30,18,Attack 1,"Melee mandibles +11, Damage 1d8+4 slashing plus Grab",Melee,11.0,False
728,GIANT AUKASHUNGI,14,300,36,Attack 1,"Melee jaws +29 (reach 10 feet), Damage 3d12+13 piercing plus Improved Grab",Melee,29.0,False
729,GIANT BADGER,2,30,18,Attack 1,"Melee jaws +11, Damage 1d8+4 piercing",Melee,11.0,False
730,GIANT BAT,2,30,18,Attack 1,"Melee fangs +10, Damage 1d10+4 slashing",Melee,10.0,False
731,GIANT BONE SKIPPER,7,115,25,Attack 1,"Melee mandibles +18, Damage 2d10+6 piercing plus marrow rot",Melee,18.0,False
732,GIANT CENTIPEDE,-1,8,15,Attack 1,"Melee mandibles +6 (finesse), Damage 1d-1 piercing plus giant centipede venom",Melee,6.0,False
733,GIANT CHAMELEON,3,60,18,Attack 1,"Melee jaws +12 (reach 10 feet), Damage 1d10+7 piercing",Melee,12.0,False
734,GIANT COCKROACH,1,20,16,Attack 1,"Melee mandibles +8 (agile, finesse), Damage 1d6+1 piercing",Melee,8.0,True
735,GIANT CRAB,2,24,19,Attack 1,"Melee claw +10, Damage 1d10+4 slashing plus Grab",Melee,10.0,False
736,GIANT CRAWLING HAND,5,75,22,Attack 1,"Melee claw +15, Damage 2d6+7 slashing plus Grab",Melee,15.0,False
737,GIANT DRAGONFLY,4,60,21,Attack 1,"Melee mandibles +14, Damage 1d12+7 piercing plus Grab",Melee,14.0,False
738,GIANT DRAGONFLY NYMPH,3,46,19,Attack 1,"Melee mandibles +12 (agile), Damage 1d10+6 piercing",Melee,12.0,True
739,GIANT EAGLE,3,45,19,Attack 1,"Melee beak +12, Damage 2d8+5 piercing",Melee,12.0,False
740,GIANT FLEA,3,50,19,Attack 1,"Melee proboscis +10, Damage 1d8+4 piercing plus Suck Blood and flea fever",Melee,10.0,False
741,GIANT FLY,1,20,17,Attack 1,"Melee mandibles +8, Damage 1d6+3 piercing plus fly pox",Melee,8.0,False
742,GIANT FLYING SQUIRREL,2,30,18,Attack 1,"Melee jaws +11, Damage 1d8+4 piercing",Melee,11.0,False
743,GIANT FLYTRAP,10,185,29,Attack 1,"Melee leaf +23 (reach 15 feet), Damage 2d8+7 piercing plus 2d6 acid and Improved Grab",Melee,23.0,False
744,GIANT FRILLED LIZARD,5,75,22,Attack 1,"Melee jaws +16 (reach 10 feet), Damage 2d8+7 piercing",Melee,16.0,False
745,GIANT FROG,1,30,15,Attack 1,"Melee jaws +8, Damage 1d6+3 piercing plus Grab",Melee,8.0,False
746,GIANT GECKO,1,20,16,Attack 1,"Melee jaws +8, Damage 1d8+2 piercing",Melee,8.0,False
747,GIANT HERMIT CRAB,5,114,21,Attack 1,"Melee big claw +15, Damage 2d8+8 piercing plus Grab (page 305)",Melee,15.0,False
748,GIANT HIPPOCAMPUS,8,170,27,Attack 1,"Melee tail +18 (reach 15 feet), Damage 2d6+10 bludgeoning",Melee,18.0,False
749,GIANT JELLYFISH,7,165,15,Attack 1,"Melee tentacle +18 (agile, reach 20 feet), Damage 2d8+8 bludgeoning plus jellyfish venom",Melee,18.0,True
750,GIANT JORO SPIDER,8,200,24,Attack 1,"Melee fangs +20, Damage 2d10+8 piercing plus joro spider venom plus Knockdown",Melee,20.0,False
751,GIANT LEECH,2,32,17,Attack 1,"Melee mouth +10, Damage 1d4+6 piercing plus Grab",Melee,10.0,False
752,GIANT LIGHTNING SERPENT,2,27,19,Attack 1,"Melee fangs +11 (finesse), Damage 1d8+2 piercing plus 1d4 electricity",Melee,11.0,False
753,GIANT MAGGOT,0,18,13,Attack 1,"Melee mandibles +6, Damage 1d8+2 piercing plus Grab",Melee,6.0,False
754,GIANT MANTIS,3,40,20,Attack 1,"Melee leg +12 (agile, reach 10 feet), Damage 1d10+5 piercing plus Grab",Melee,12.0,True
755,GIANT MONITOR LIZARD,2,30,18,Attack 1,"Melee jaws +11, Damage 1d10+3 piercing plus Grab and monitor lizard venom",Melee,11.0,False
756,GIANT MORAY EEL,5,65,21,Attack 1,"Melee jaws +15 (reach 10 feet), Damage 2d6+8 piercing plus Grab",Melee,15.0,False
757,GIANT MOSQUITO,6,80,24,Attack 1,"Melee proboscis +17 (finesse), Damage 2d10+7 piercing plus Grab and septic malaria",Melee,17.0,False
758,GIANT OCTOPUS,8,135,27,Attack 1,"Melee arm +20 (agile, reach 15 feet), Damage 2d8+9 bludgeoning plus Grab",Melee,20.0,True
759,GIANT OPOSSUM,2,35,17,Attack 1,"Melee jaws +10 (deadly d10), Damage 1d10+4 piercing",Melee,10.0,False
760,GIANT OSPREY,3,45,19,Attack 1,"Melee beak +12 (finesse), Damage 2d8+5 piercing",Melee,12.0,False
761,GIANT PANGOLIN,4,63,21,Attack 1,"Melee claw +13 (agile), Damage 1d10+7 piercing damage",Melee,13.0,True
762,GIANT PIRATE SKELETON,8,125,26,Attack 1,"Melee gaff hook +20 (reach 10 feet), Damage 2d10+10 piercing plus impaling hook",Melee,20.0,False
763,GIANT PORCUPINE,2,32,18,Attack 1,"Melee quills +11, Damage 1d8+4 piercing plus embed quill",Melee,11.0,False
764,GIANT RAT,-1,8,15,Attack 1,"Melee jaws +7 (agile, finesse), Damage 1d6+1 piercing plus filth fever",Melee,7.0,True
765,GIANT SEAHORSE,3,58,19,Attack 1,"Melee snout +11, Damage 1d12+4 bludgeoning",Melee,11.0,False
766,GIANT SHORT-FACED BEAR,6,96,23,Attack 1,"Melee jaws +15, Damage 2d6+7 piercing",Melee,15.0,False
767,GIANT SHREW,-1,8,15,Attack 1,"Melee jaws +7 (agile, finesse), Damage 1d4+1 piercing plus shrew venom",Melee,7.0,True
768,GIANT SKUNK,1,21,16,Attack 1,"Melee jaws +8, Damage 1d6+3 piercing",Melee,8.0,False
769,GIANT SLUG,8,165,25,Attack 1,"Melee radula +21 (reach 15 feet), Damage 2d10+10 slashing plus mucus",Melee,21.0,False
770,GIANT SNAPPING TURTLE,9,170,28,Attack 1,"Melee jaws +22, Damage 2d12+10 piercing plus Improved Grab",Melee,22.0,False
771,GIANT SOLIFUGID,1,20,16,Attack 1,"Melee jaws +8, Damage 1d10+1 piercing",Melee,8.0,False
772,GIANT SPIDER,1,16,17,Attack 1,"Melee fangs +9 (finesse), Damage 1d6+2 piercing plus hunting spider venom",Melee,9.0,False
773,GIANT SQUID,9,155,28,Attack 1,"Melee beak +21, Damage 2d12+11 piercing",Melee,21.0,False
774,GIANT STAG BEETLE,4,55,22,Attack 1,"Melee mandibles +13, Damage 2d8+5 piercing",Melee,13.0,False
775,GIANT TARANTULA,6,135,21,Attack 1,"Melee fangs +17, Damage 2d8+8 piercing plus giant tarantula venom",Melee,17.0,False
776,GIANT TICK,1,20,16,Attack 1,"Melee hypostome +8 (finesse), Damage 1d6+1 plus attach and tick fever",Melee,8.0,False
777,GIANT TOAD,2,36,17,Attack 1,"Melee bite +11, Damage 1d8+5 piercing plus Grab",Melee,11.0,False
778,GIANT VIPER,2,26,19,Attack 1,"Melee fangs +11 (finesse), Damage 1d8+3 piercing plus giant viper venom",Melee,11.0,False
779,GIANT VULTURE,3,50,18,Attack 1,"Melee beak +10, Damage 1d10+5 piercing plus carrion fever",Melee,10.0,False
780,GIANT WASP,3,45,19,Attack 1,"Melee stinger +12 (poison), Damage 1d12+4 piercing plus giant wasp venom",Melee,12.0,False
781,GIANT WHIPTAIL CENTIPEDE,3,45,19,Attack 1,"Melee mandibles +11 (reach 10 feet), Damage 1d10+6 piercing plus whiptail centipede venom",Melee,11.0,False
782,GIANT WOLVERINE,4,65,21,Attack 1,"Melee jaws +12, Damage 2d6+8 piercing plus Grab",Melee,12.0,False
783,GIANT WORKER ANT,1,25,16,Attack 1,"Melee mandibles +9, Damage 1d6+3 slashing plus grab",Melee,9.0,False
784,GIBBERING MOUTHER,5,120,21,Attack 1,"Melee jaws +14 (finesse), Damage 2d8+5 piercing plus 1d4 persistent bleed damage and Grab",Melee,14.0,False
785,GIBTANIUS,8,140,28,Attack 1,"Melee jaws +20 (deadly 1d12, reach 10 feet), Damage 2d10+10 piercing plus 1d4 persistent acid",Melee,20.0,False
786,GIBTAS BOUNDER,5,76,22,Attack 1,"Melee jaws +15 (deadly 1d12), Damage 1d8+7 piercing plus 1d6 persistent acid",Melee,15.0,False
787,GIGI,9,170,27,Attack 1,"Melee tusk +20 (reach 15 feet), Damage 3d8+10 piercing",Melee,20.0,False
788,GIMMERLING,12,235,34,Attack 1,"Melee claw +26 (agile, finesse), Damage 2d8+7 slashing plus Disarm",Melee,26.0,True
789,GINJANA MINDKEEPER,11,195,31,Attack 1,"Melee shortsword +24 (agile, finesse, magical, versatile S), Damage 2d6+13 piercing",Melee,24.0,True
790,GIRTABLILU SEER,12,210,33,Attack 1,"Melee pincer +24 (agile), Damage 3d8+12 bludgeoning plus Grab (page 305)",Melee,24.0,True
791,GIRTABLILU SENTRY,8,160,27,Attack 1,"Melee longspear +21 (magical, reach 15 feet), Damage 2d8+9 piercing",Melee,21.0,False
792,GIVZIB,1,25,17,Attack 1,"Melee claw +9 (agile, evil, finesse, magical, poison), Damage 1d-1 slashing plus 1d4 evil and quasit venom",Melee,9.0,True
793,GLABREZU (TREACHERY DEMON),13,280,34,Attack 1,"Melee pincer +27 (deadly 2d10, evil, magical, reach 15 feet), Damage 3d10+13 bludgeoning plus 1d6 evil and Grab",Melee,27.0,False
794,GLASS GOLEM,8,135,26,Attack 1,"Melee bladed limb +20 (agile, magical, versatile P), Damage 2d6+8 slashing plus 1d6 bleed",Melee,20.0,True
795,GLIMINAL,9,160,27,Attack 1,"Melee scintillating claw +19 (agile, finesse, magical), Damage 3d8+7 positive",Melee,19.0,True
796,GLOAMING WILL-O'-WISP,13,110,37,Attack 1,"Melee shock +27 (electricity, magical), Damage 4d8+13 electricity",Melee,27.0,False
797,GLOBSTER,5,170,12,Attack 1,"Melee tendril +15, Damage 2d8+6 bludgeoning plus Grab (page 305) and nauseating slap",Melee,15.0,False
798,GLUTTONDARK BABAU,7,135,26,Attack 1,"Melee longspear +19 (evil, magical, reach), Damage 1d6+8 piercing plus 1d6 evil",Melee,19.0,False
799,GLUTTONYSPAWN,2,30,18,Attack 1,"Melee scythe +10 (deadly d10, trip), Damage 1d10+4 slashing",Melee,10.0,False
800,GNOLL CULTIST,3,45,19,Attack 1,"Melee falchion +10 (forceful, sweep), Damage 1d10+3 slashing",Melee,10.0,False
801,GNOLL HUNTER,2,29,18,Attack 1,"Melee battle axe +10 (sweep), Damage 1d8+4 slashing",Melee,10.0,False
802,GNOLL SERGEANT,4,60,21,Attack 1,"Melee scimitar +14 (forceful, sweep), Damage 1d6+7 slashing",Melee,14.0,False
803,GOBLIN COMMANDO,1,18,17,Attack 1,"Melee horsechopper +8 (reach 10 feet, trip, versatile P), Damage 1d8+3 slashing",Melee,8.0,False
804,GOBLIN DOG,1,17,17,Attack 1,"Melee jaws +9, Damage 1d6+3 piercing plus goblin pox",Melee,9.0,False
805,GOBLIN IGNITER,1,15,17,Attack 1,"Melee torch +7, Damage 1d4 bludgeoning plus 1 fire",Melee,7.0,False
806,GOBLIN PYRO,1,15,17,Attack 1,"Melee torch +7 (fire), Damage 1d4 bludgeoning plus 1 fire",Melee,7.0,False
807,GOBLIN SKELETON,-1,20,16,Attack 1,"Melee claw +6 (agile, finesse), Damage 1d4+2 slashing",Melee,6.0,True
808,GOBLIN SKELETON,-1,4,17,Attack 1,"Melee dogslicer +8 (agile, backstabber, finesse, goblin, uncommon), Damage 1d6 slashing",Melee,8.0,True
809,GOBLIN WAR CHANTER,1,16,17,Attack 1,"Melee dogslicer +8 (agile, backstabber, finesse), Damage 1d6+2 slashing",Melee,8.0,True
810,GOBLIN WARRIOR,-1,6,16,Attack 1,"Melee dogslicer +8 (agile, backstabber, finesse), Damage 1d6 slashing",Melee,8.0,True
811,GOGITETH,12,250,31,Attack 1,"Melee jaws +26, Damage 3d10+12 piercing plus Improved Grab",Melee,26.0,False
812,GOLGA,3,40,18,Attack 1,"Melee staff +10 (two-hand d8), Damage 1d4+6 bludgeoning",Melee,10.0,False
813,GOLGUKAN,3,44,20,Attack 1,"Melee greataxe +11 (sweep), Damage 1d10+6 slashing plus Weakening Strike",Melee,11.0,False
814,GOLIATH SPIDER,11,220,30,Attack 1,"Melee fangs +24 (reach 10 feet), Damage 2d12+12 piercing plus goliath spider venom",Melee,24.0,False
815,GOLM,5,115,20,Attack 1,"Melee jaws +14 (reach 10 feet), Damage 2d10+5 piercing",Melee,14.0,False
816,GOLM,5,115,20,Attack 1,"Melee jaws +14 (reach 10 feet), Damage 2d10+5 piercing",Melee,14.0,False
817,GOON,12,210,32,Attack 1,"Melee dagger +24 (agile, finesse, versatile S), Damage 1d4+9 piercing",Melee,24.0,True
818,GORGON,8,135,28,Attack 1,"Melee horn +20, Damage 2d12+10 piercing",Melee,20.0,False
819,GORILLA,3,45,19,Attack 1,"Melee fist +11 (agile, reach 10 feet), Damage 2d6+4 bludgeoning",Melee,11.0,True
820,GORSALTHITH,9,155,28,Attack 1,"Melee fist +21, Damage 2d10+8 bludgeoning plus bog rot",Melee,21.0,False
821,GOSREG,11,195,31,Attack 1,"Melee jaws +21 (finesse), Damage 2d10+7 piercing plus 1d10 mental",Melee,21.0,False
822,GOURD LESHY,1,20,17,Attack 1,"Melee fist +7 (agile, finesse), Damage 1d4+2 bludgeoning plus ensnare",Melee,7.0,True
823,GRABBLE FORDEN,13,285,32,Attack 1,"Melee dagger +22 (agile, finesse, magical, versatile S), Damage 2d4+9 piercing",Melee,22.0,True
824,GRAEM AND GRINLOWE,16,300,39,Attack 1,"Melee claw +31 (agile, magical), Damage 3d12+13 slashing",Melee,31.0,True
825,GRANITE GLYPTODONT,8,145,28,Attack 1,"Melee tail +20 (forceful, reach 10 feet, versatile piercing), Damage 2d12+9 bludgeoning plus calcification",Melee,20.0,False
826,GRAULADON,2,35,17,Attack 1,"Melee jaws +10, Damage 1d12+4 piercing",Melee,10.0,False
827,GRAULGUST,4,58,21,Attack 1,"Melee club +11, Damage 1d6+5 bludgeoning",Melee,11.0,False
828,GRAVE DIGGER,1,22,15,Attack 1,"Melee shovel +9, Damage 1d4+4 bludgeoning",Melee,9.0,False
829,GRAVE ROBBER,1,18,17,Attack 1,"Melee shovel +6, Damage 1d6+1 bludgeoning",Melee,6.0,False
830,GRAVEDIGGER,1,22,15,Attack 1,"Melee shovel +9, Damage 1d4+4 bludgeoning",Melee,9.0,False
831,GRAVEKNIGHT,10,175,31,Attack 1,"Melee frost greatsword +24 (cold, magical, versatile P), Damage 2d12+10 slashing plus 1d6 cold",Melee,24.0,False
832,GRAVEKNIGHT OF KHARNAS,17,260,40,Attack 1,"Melee greater flaming greataxe +33 (magical, sweep), Damage 3d12+19 slashing plus 1d6 fire",Melee,33.0,False
833,GRAVESHELL,1,20,17,Attack 1,"Melee jaws +8, Damage 1d6+3 piercing",Melee,8.0,False
834,GRAY OOZE,4,60,14,Attack 1,"Melee pseudopod +13 (agile), Damage 1d6+5 bludgeoning plus 1d6 acid and Grab",Melee,13.0,True
835,GRAYTUSK,3,47,21,Attack 1,"Melee shortsword +11 (agile, finesse, versatile S), Damage 1d6+5 piercing",Melee,11.0,True
836,GREAT CYCLOPS,12,235,32,Attack 1,"Melee greatclub +25 (backswing, reach 15 feet, shove), Damage 3d10+13 bludgeoning",Melee,25.0,False
837,GREAT WHITE SHARK,4,60,21,Attack 1,"Melee jaws +14, Damage 1d12+8 piercing",Melee,14.0,False
838,GREATER BARGHEST,7,105,25,Attack 1,"Melee jaws +17, Damage 2d10+6 piercing",Melee,17.0,False
839,GREATER METALLIC SOD HOUND,5,71,22,Attack 1,"Melee jaws +14, Damage 2d10+8 piercing plus Knockdown",Melee,14.0,False
840,GREATER NIGHTMARE,11,200,31,Attack 1,"Melee jaws +24 (evil, magical), Damage 2d10+11 piercing plus 1d6 evil",Melee,24.0,False
841,GREATER SHADOW,7,75,24,Attack 1,"Melee shadow hand +18 (finesse, magical), Damage 2d10+6 negative",Melee,18.0,False
842,GREATER SHADOW WISP,3,60,19,Attack 1,"Melee shadow tendril +12 (finesse, magical), Damage 2d8 negative",Melee,12.0,False
843,GREATER STEEL MEPHIT,4,65,21,Attack 1,"Melee fist +13, Damage 2d8+5 bludgeoning",Melee,13.0,False
844,GREEDSPAWN,2,30,18,Attack 1,"Melee glaive +10 (deadly d8, forceful, reach 10 feet), Damage 1d8+4 slashing",Melee,10.0,False
845,GREELEEP,5,58,21,Attack 1,"Melee claw +11, Damage 1d6+7 slashing",Melee,11.0,False
846,GREEN HAG,4,70,21,Attack 1,"Melee claw +14 (agile, magical), Damage 1d10+5 slashing plus enfeebling humors",Melee,14.0,True
847,GREEN MAN,24,525,51,Attack 1,"Melee vine +46 (deadly 3d12, versatile P), Damage 4d10+27 bludgeoning plus absorb magic and Improved Grab (page 305)",Melee,46.0,False
848,GRENDEL,19,360,44,Attack 1,"Melee fist +37 (agile, magical, reach 10 feet), Damage 4d8+18 bludgeoning plus Improved Grab",Melee,37.0,True
849,GRETTCH,1,24,16,Attack 1,"Melee morningstar +8 (versatile P), Damage 1d6+3 bludgeoning",Melee,8.0,False
850,GRICK,3,40,19,Attack 1,"Melee jaws +12, Damage 1d8+6 piercing",Melee,12.0,False
851,GRIFFON,4,60,21,Attack 1,"Melee beak +14 (deadly 1d10), Damage 2d8+4 piercing",Melee,14.0,False
852,GRIG,1,20,17,Attack 1,"Melee fist +9 (agile, finesse, magical), Damage 1d-2 bludgeoning",Melee,9.0,True
853,GRIKKITOG,14,200,36,Attack 1,"Melee jaws +29 (magical), Damage 3d12+14 piercing plus barbed maw",Melee,29.0,False
854,GRIM REAPER,21,320,47,Attack 1,"Melee keen scythe +40 (agile, deadly 3d10, magical, reach 10 feet, trip), Damage 4d10+23 slashing plus death strike and energy drain",Melee,40.0,True
855,GRIMPLE,-1,9,15,Attack 1,"Melee bite +7 (agile, finesse), Damage 1d4+1 piercing",Melee,7.0,True
856,GRIMSTALKER,5,60,22,Attack 1,"Melee claw +15 (agile), Damage 2d6+7 slashing plus grimstalker sap",Melee,15.0,True
857,GRIMSTONE,4,40,21,Attack 1,"Melee jaws +13, Damage 2d8+3 piercing",Melee,13.0,False
858,GRIMWOLD,14,270,36,Attack 1,"Melee longsword +28 (magical, versatile P), Damage 3d8+12 slashing",Melee,28.0,False
859,GRINDYLOW,0,14,15,Attack 1,"Melee bite +7 (finesse), Damage 1d6+1 piercing",Melee,7.0,False
860,GRIPPLI ARCHER,3,44,20,Attack 1,"Melee shortsword +11 (agile, finesse, versatile S), Damage 1d6+3 piercing",Melee,11.0,True
861,GRIPPLI GREENSPEAKER,5,71,21,Attack 1,"Melee staff +11 (two-hand d8), Damage 1d4+4 bludgeoning",Melee,11.0,False
862,GRIPPLI SCOUT,1,20,18,Attack 1,"Melee sickle +9 (agile, finesse, trip), Damage 1d4+1 slashing",Melee,9.0,True
863,GRIZZLY BEAR,3,45,19,Attack 1,"Melee jaws +11, Damage 2d8+4 piercing",Melee,11.0,False
864,GRODAIR,5,88,20,Attack 1,"Melee jaws +15, Damage 2d8+7 piercing",Melee,15.0,False
865,GROETAN CANDLE,6,50,27,Attack 1,"Melee shock +17 (cold, magical), Damage 2d8+4 cold",Melee,17.0,False
866,GROETUS'S CHOSEN,-1,20,15,Attack 1,"Melee dagger +6 (agile, versatile S), Damage 1d4+2 piercing",Melee,6.0,True
867,GROETUS'S CHOSEN,1,20,17,Attack 1,"Melee dagger +7 (agile, versatile S), Damage 1d4+4 piercing",Melee,7.0,True
868,GROSPEK LAVARSUS,7,140,24,Attack 1,"Melee Lawkeeper +19 (nonlethal, thrown 10 feet), Damage 1d6+13 bludgeoning",Melee,19.0,False
869,GROTHLUT,3,50,19,Attack 1,"Melee claw +11 (agile), Damage 1d10+8 slashing",Melee,11.0,True
870,GRUNKA,-1,6,16,Attack 1,"Melee club +8 (thrown 10 feet), Damage 1d6 bludgeoning",Melee,8.0,False
871,GUARD,-1,9,15,Attack 1,"Melee spear +6, Damage 1d6+2 piercing",Melee,6.0,False
872,GUARD,1,25,16,Attack 1,"Melee club +9, Damage 1d6+4 bludgeoning",Melee,9.0,False
873,GUARD,1,20,18,Attack 1,"Melee club +9, Damage 1d6+4 bludgeoning",Melee,9.0,False
874,GUARD CAPTAIN,1,24,18,Attack 1,"Melee battle axe +9 (sweep), Damage 1d8+4 slashing",Melee,9.0,False
875,GUARD DOG,-1,8,15,Attack 1,"Melee jaws +6, Damage 1d4+1 piercing",Melee,6.0,False
876,GUARDIAN NAGA,10,175,31,Attack 1,"Melee fangs +22 (agile, finesse), Damage 2d8+8 piercing plus guardian naga venom",Melee,22.0,True
877,GUARDIAN OF THE FAITHFUL,8,90,28,Attack 1,"Melee stone fist +21 (magical), Damage 2d12+8 bludgeoning plus Grab",Melee,21.0,False
878,GUECUBU,8,110,27,Attack 1,"Melee jaws +20 (agile), Damage 2d8+8 piercing plus wrathful misfortune",Melee,20.0,True
879,GUG,10,175,30,Attack 1,"Melee jaws +23 (reach 15 feet), Damage 2d12+13 piercing",Melee,23.0,False
880,GUIDE,4,60,21,Attack 1,"Melee greataxe +12 (sweep), Damage 1d12+6 slashing",Melee,12.0,False
881,GUILDMASTER,8,135,26,Attack 1,"Melee light hammer +16 (agile), Damage 2d6+5 bludgeoning",Melee,16.0,True
882,GULZASH,4,72,20,Attack 1,"Melee battle lute +14 (shove, two-hand d8), Damage 1d4+6 bludgeoning",Melee,14.0,False
883,GURGIST MAULER,6,120,23,Attack 1,"Melee maul +18 (magical, shove), Damage 1d12+8 bludgeoning plus Knockdown (page 305)",Melee,18.0,False
884,GUSTON,1,20,16,Attack 1,"Melee jaws +9 (finesse), Damage 1d6+1 piercing plus ghoul fever and paralysis",Melee,9.0,False
885,GUTHALLATH,19,325,43,Attack 1,"Melee fist +38 (deadly 3d12, magical, reach 20 feet), Damage 4d12+18 bludgeoning plus Improved Grab or Improved Push 20 feet",Melee,38.0,False
886,GWIBBLE,1,23,16,Attack 1,"Melee shortsword +9 (agile, finesse, versatile S), Damage 1d-1 piercing",Melee,9.0,True
887,GWIBBLE,3,44,20,Attack 1,"Melee shortsword +11 (agile, finesse, versatile S), Damage 1d6 piercing",Melee,11.0,True
888,GYLOU,14,240,36,Attack 1,"Melee claw +30 (agile, evil, finesse, magical), Damage 3d8+12 slashing plus 1d6 evil",Melee,30.0,True
889,HADRINNEX,8,118,27,Attack 1,"Melee weapon arm +20 (reach 10 feet), Damage 2d8+9 physical (see Rapid Evolution)",Melee,20.0,False
890,HADROSAURID,4,60,21,Attack 1,"Melee tail +14 (reach 15 feet), Damage 2d6+8 bludgeoning",Melee,14.0,False
891,HALFLING DRUID,0,15,17,Attack 1,"Melee club +3, Damage 1d6 bludgeoning",Melee,3.0,False
892,HALFLING DRUID,2,35,19,Attack 1,"Melee club +5, Damage 1d6 bludgeoning",Melee,5.0,False
893,HALLOD,3,44,19,Attack 1,"Melee kukri +12 (agile, trip), Damage 1d6+6 slashing",Melee,12.0,True
894,HAMATULA (BARBED DEVIL),11,165,31,Attack 1,"Melee barb +24 (evil, magical), Damage 3d8+13 piercing plus 1d6 evil and bloodletting",Melee,24.0,False
895,HANIVER,-1,9,15,Attack 1,"Melee bite +7 (agile, finesse), Damage 1d4+1 piercing",Melee,7.0,True
896,HARBORMASTER,3,46,17,Attack 1,"Melee hatchet +13 (agile, sweep), Damage 1d6+7 slashing",Melee,13.0,True
897,HARGRIT LEADBUSTER,4,65,20,Attack 1,"Melee dagger +14 (agile, finesse, magical, versatile S), Damage 1d4+4 piercing plus 1d10 fire",Melee,14.0,True
898,HARMONA,11,190,30,Attack 1,"Melee beak +23 (finesse, magical), Damage 2d6+6 piercing plus 2d6 sonic",Melee,23.0,False
899,HARPY,5,68,22,Attack 1,"Melee club +12, Damage 1d6+4 bludgeoning",Melee,12.0,False
900,HARPY SKELETON,5,60,22,Attack 1,"Melee talon +15 (agile), Damage 2d6+7 slashing",Melee,15.0,True
901,HARRIET,3,45,19,Attack 1,"Melee jaws +11, Damage 1d10+6 piercing plus Grab",Melee,11.0,False
902,HARROW READER,-1,9,13,Attack 1,"Melee sickle +7 (agile, finesse, trip), Damage 1d4+1 slashing",Melee,7.0,True
903,HARSUS,1,21,15,Attack 1,"Melee dagger +5 (agile, finesse, versatile S), Damage 1d4 piercing",Melee,5.0,True
904,HARSUS,3,48,17,Attack 1,"Melee dagger +7 (agile, finesse, versatile S), Damage 1d4 piercing",Melee,7.0,True
905,HATRED SIKTEMPORA,18,240,42,Attack 1,"Melee loathing garotte +35 (cold, reach 10 feet), Damage 3d10+17 cold plus Improved Grab (page 305)",Melee,35.0,False
906,HAZNAZAK,9,135,28,Attack 1,"Melee jaws +21 (evil, magical), Damage 2d10+11 piercing plus 1d6 evil",Melee,21.0,False
907,HEADLESS XULGATH,11,195,29,Attack 1,"Melee claw +22 (agile, reach 15 feet), Damage 2d8+13 slashing plus Grab",Melee,22.0,True
